-0.0172348,-0.993134,-0.11571,-1.21265
-0.0152173,-0.993819,-0.109967,-1.19746
-0.0171378,-0.993629,-0.111394,-1.19929
-0.0137194,-0.993466,-0.113301,-1.21211
-0.0131946,-0.993033,-0.117091,-1.22167
-0.0167081,-0.992806,-0.118565,-1.22665
-0.0176877,-0.993457,-0.112832,-1.20355
-0.0152573,-0.993496,-0.112837,-1.20312
-0.0156851,-0.993382,-0.11378,-1.2085
-0.0182863,-0.993,-0.116689,-1.21568
-0.0180449,-0.992845,-0.118041,-1.22316
-0.0172585,-0.992446,-0.121463,-1.22765
-0.0157429,-0.993597,-0.111879,-1.2029
-0.018809,-0.992933,-0.117179,-1.21402
-0.0196093,-0.993203,-0.114736,-1.21788
-0.0127745,-0.993853,-0.10997,-1.20184
-0.01812,-0.993176,-0.115208,-1.21523
-0.0175821,-0.993076,-0.116147,-1.21574
-0.0205564,-0.993073,-0.115683,-1.21796
-0.0157047,-0.993381,-0.113784,-1.21435
-0.0201433,-0.993024,-0.11618,-1.21262
-0.0118942,-0.993541,-0.112849,-1.21577
-0.0186172,-0.992887,-0.117595,-1.21801
-0.0137901,-0.993518,-0.112837,-1.21201
-0.0138696,-0.993678,-0.111411,-1.21038
-0.0123645,-0.993644,-0.111887,-1.20471
-0.0182395,-0.993554,-0.111882,-1.19834
-0.0143503,-0.993289,-0.114768,-1.21699
-0.0162399,-0.993426,-0.113315,-1.21106
-0.0138114,-0.992734,-0.119534,-1.23579
-0.0167893,-0.993195,-0.115243,-1.21323
-0.0186961,-0.992826,-0.1181,-1.21904
-0.013782,-0.993354,-0.114269,-1.2173
-0.0161187,-0.993592,-0.111867,-1.19834
-0.0182415,-0.993115,-0.115717,-1.21189
-0.01918,-0.993483,-0.112355,-1.20314
-0.0216525,-0.993214,-0.114272,-1.20983
-0.0161782,-0.993698,-0.110919,-1.20345
-0.0132601,-0.993687,-0.1114,-1.20383
-0.0156748,-0.993491,-0.112825,-1.20638
-0.0165936,-0.99326,-0.114717,-1.21755
-0.0142211,-0.993567,-0.112351,-1.20809
-0.0147618,-0.993504,-0.112836,-1.20914
-0.0148017,-0.993004,-0.11715,-1.2234
-0.0156861,-0.993162,-0.115687,-1.21256
-0.0245188,-0.993367,-0.112342,-1.20773
-0.0171733,-0.992685,-0.11951,-1.22537
-0.0171914,-0.993411,-0.11331,-1.21344
-0.0146707,-0.993068,-0.116625,-1.21464
-0.016191,-0.993098,-0.116169,-1.21062
-0.0177105,-0.993181,-0.115228,-1.20904
