-0.0050686,-0.9931,-0.117164,-1.19608
-0.00743292,-0.993368,-0.114738,-1.17471
-0.00991799,-0.993289,-0.115236,-1.18522
-0.00699924,-0.993313,-0.115239,-1.20497
-0.00699066,-0.992806,-0.119532,-1.18637
-0.00991262,-0.992952,-0.118101,-1.21067
-0.00749305,-0.993029,-0.117633,-1.18565
-0.0103468,-0.993231,-0.115691,-1.18459
-0.00751124,-0.992913,-0.118603,-1.18566
-0.00894481,-0.993353,-0.114759,-1.17479
-0.0064667,-0.99386,-0.110452,-1.17073
-0.00891919,-0.993244,-0.115704,-1.19338
-0.00308649,-0.993055,-0.117608,-1.19142
-0.00599816,-0.992814,-0.119514,-1.20277
-0.00799719,-0.993193,-0.116207,-1.20773
-0.00845835,-0.993357,-0.114759,-1.17607
-0.00936418,-0.993242,-0.115686,-1.17673
-0.00708569,-0.993025,-0.117688,-1.20075
-0.00746786,-0.993366,-0.114753,-1.19579
-0.007951,-0.992684,-0.120476,-1.21825
-0.00936947,-0.993516,-0.113308,-1.1753
-0.00649538,-0.993537,-0.11332,-1.17646
-0.0103108,-0.993233,-0.115676,-1.1838
-0.00650676,-0.993427,-0.11428,-1.17708
-0.0084736,-0.992849,-0.119072,-1.2101
