-0.0177324,-0.993124,-0.115712,-1.25511
-0.0197185,-0.992103,-0.123864,-1.28739
-0.0172368,-0.992622,-0.120017,-1.2756
-0.0182102,-0.992605,-0.120015,-1.27187
-0.0118634,-0.993323,-0.114756,-1.26527
-0.0172262,-0.992623,-0.120012,-1.27483
-0.0157356,-0.993048,-0.116657,-1.2633
-0.0191111,-0.993485,-0.112348,-1.24385
-0.0201439,-0.992855,-0.117615,-1.26384
-0.0168008,-0.992914,-0.117645,-1.2685
-0.0152877,-0.993165,-0.115714,-1.26491
-0.0133068,-0.99297,-0.117615,-1.27187
-0.0191368,-0.992819,-0.118083,-1.27104
-0.0133424,-0.992739,-0.119545,-1.27127
-0.0180667,-0.992844,-0.118049,-1.26026
-0.0162502,-0.993371,-0.113795,-1.25634
-0.0137576,-0.992852,-0.118553,-1.268
-0.0158258,-0.9927,-0.119565,-1.27322
-0.016697,-0.993033,-0.116651,-1.26153
-0.0181308,-0.993231,-0.114734,-1.25108
-0.0177121,-0.992787,-0.118576,-1.27209
-0.0206419,-0.993013,-0.116182,-1.26086
-0.0143052,-0.993124,-0.116191,-1.26932
-0.0152283,-0.993551,-0.112355,-1.25518
-0.0191138,-0.992821,-0.118075,-1.26496
-0.0166869,-0.992977,-0.117125,-1.26146
-0.0172273,-0.992272,-0.122879,-1.28744
-0.0119124,-0.993097,-0.116689,-1.26919
-0.0137852,-0.992621,-0.120475,-1.27592
-0.0143327,-0.993122,-0.1162,-1.26158
-0.0183181,-0.993388,-0.113333,-1.24768
-0.0162924,-0.99298,-0.117159,-1.26408
-0.0171283,-0.993413,-0.113299,-1.25468
-0.0147548,-0.993007,-0.117132,-1.27163
-0.018671,-0.993439,-0.112832,-1.2541
-0.0167904,-0.992914,-0.117641,-1.26848
-0.0146787,-0.993344,-0.11425,-1.25894
-0.0133489,-0.993248,-0.115241,-1.26209
-0.0109316,-0.992592,-0.120999,-1.27986
-0.0182087,-0.993004,-0.116666,-1.25935
-0.0170884,-0.992974,-0.117096,-1.27035
-0.0119371,-0.992982,-0.11766,-1.26616
-0.0157466,-0.992764,-0.119049,-1.26646
-0.0162401,-0.993372,-0.113793,-1.25084
-0.0156973,-0.992824,-0.11855,-1.27353
-0.0172474,-0.992621,-0.120021,-1.2717
-0.0148009,-0.993172,-0.115714,-1.26208
-0.0147538,-0.99323,-0.115222,-1.26595
-0.0166987,-0.992577,-0.12047,-1.26954
-0.0177211,-0.993236,-0.114752,-1.25459
-0.0201909,-0.993133,-0.115234,-1.25279
-0.0157472,-0.992591,-0.120482,-1.27426
-0.011345,-0.993549,-0.112837,-1.25103
-0.0167697,-0.992915,-0.117633,-1.26309
-0.0138114,-0.992734,-0.119534,-1.272
-0.0163011,-0.993314,-0.114285,-1.25182
-0.0118252,-0.99299,-0.117606,-1.26868
-0.0156368,-0.993275,-0.114721,-1.25816
-0.0220507,-0.992816,-0.117599,-1.26598
-0.0171525,-0.992629,-0.119977,-1.26907
-0.0172258,-0.992738,-0.119055,-1.27172
